dataset,k,sigma,role,n,ADE_base,FDE_base,ADE_dup,FDE_dup,dADE,dFDE,abs_dADE,abs_dFDE,ratio_ADE(%),ratio_FDE(%)
eth,0,0.0,all,181,0.456304,0.797208,0.456304,0.797208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
eth,0,0.0,source,70,0.470637,0.764707,0.470637,0.764707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
eth,0,0.0,other,111,0.447265,0.817705,0.447265,0.817705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
eth,1,0.0,all,181,0.456304,0.797208,0.457995,0.811634,0.001691,0.014426,0.028130,0.076132,6.164781,9.549847
eth,1,0.0,source,70,0.470637,0.764707,0.468530,0.796666,-0.002106,0.031959,0.032723,0.081732,6.952836,10.688031
eth,1,0.0,other,111,0.447265,0.817705,0.451352,0.821074,0.004087,0.003369,0.025234,0.072601,5.641840,8.878594
eth,1,0.02,all,181,0.456304,0.797208,0.458415,0.813560,0.002112,0.016352,0.029175,0.078225,6.393665,9.812350
eth,1,0.02,source,70,0.470637,0.764707,0.468474,0.798513,-0.002163,0.033807,0.033860,0.083015,7.194441,10.855828
eth,1,0.02,other,111,0.447265,0.817705,0.452072,0.823049,0.004807,0.005344,0.026220,0.075204,5.862282,9.196951
eth,1,0.05,all,181,0.456304,0.797208,0.460047,0.816718,0.003743,0.019509,0.032061,0.084791,7.026216,10.635993
eth,1,0.05,source,70,0.470637,0.764707,0.469625,0.802805,-0.001012,0.038099,0.036827,0.088630,7.824866,11.590041
eth,1,0.05,other,111,0.447265,0.817705,0.454006,0.825491,0.006741,0.007787,0.029055,0.082370,6.496244,10.073336
eth,2,0.0,all,181,0.456304,0.797208,0.462858,0.824479,0.006554,0.027271,0.041719,0.113205,9.142773,14.200171
eth,2,0.0,source,70,0.470637,0.764707,0.471919,0.815492,0.001282,0.050785,0.045385,0.116768,9.643386,15.269626
eth,2,0.0,other,111,0.447265,0.817705,0.457144,0.830147,0.009879,0.012442,0.039407,0.110958,8.810574,13.569453
eth,2,0.02,all,181,0.456304,0.797208,0.462525,0.825163,0.006221,0.027954,0.042327,0.115512,9.275961,14.489624
eth,2,0.02,source,70,0.470637,0.764707,0.470818,0.815549,0.000181,0.050842,0.046158,0.118674,9.807614,15.518942
eth,2,0.02,other,111,0.447265,0.817705,0.457296,0.831225,0.010031,0.013520,0.039910,0.113518,8.923165,13.882575
eth,2,0.05,all,181,0.456304,0.797208,0.463276,0.827121,0.006972,0.029913,0.044014,0.122919,9.645694,15.418698
eth,2,0.05,source,70,0.470637,0.764707,0.470204,0.817731,-0.000432,0.053024,0.047797,0.125996,10.155731,16.476395
eth,2,0.05,other,111,0.447265,0.817705,0.458907,0.833043,0.011642,0.015338,0.041628,0.120979,9.307241,14.794913
eth,4,0.0,all,181,0.456304,0.797208,0.470450,0.844868,0.014146,0.047660,0.058017,0.157810,12.714496,19.795374
eth,4,0.0,source,70,0.470637,0.764707,0.476395,0.837062,0.005758,0.072355,0.059721,0.154327,12.689445,20.181180
eth,4,0.0,other,111,0.447265,0.817705,0.466702,0.849791,0.019437,0.032086,0.056942,0.160007,12.731120,19.567842
eth,4,0.02,all,181,0.456304,0.797208,0.469946,0.845322,0.013642,0.048114,0.058837,0.160951,12.894329,20.189302
eth,4,0.02,source,70,0.470637,0.764707,0.475355,0.837399,0.004718,0.072692,0.060459,0.156296,12.846315,20.438728
eth,4,0.02,other,111,0.447265,0.817705,0.466534,0.850319,0.019269,0.032614,0.057814,0.163886,12.926191,20.042202
eth,4,0.05,all,181,0.456304,0.797208,0.470489,0.846995,0.014186,0.049787,0.061229,0.168795,13.418515,21.173271
eth,4,0.05,source,70,0.470637,0.764707,0.474442,0.839770,0.003805,0.075063,0.062521,0.161015,13.284324,21.055737
eth,4,0.05,other,111,0.447265,0.817705,0.467997,0.851552,0.020732,0.033847,0.060415,0.173702,13.507561,21.242588
hotel,0,0.0,all,1053,0.142257,0.221809,0.142257,0.221809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hotel,0,0.0,source,301,0.146068,0.230662,0.146068,0.230662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hotel,0,0.0,other,752,0.140732,0.218266,0.140732,0.218266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hotel,1,0.0,all,1053,0.142257,0.221809,0.151158,0.241110,0.008901,0.019301,0.020880,0.052228,14.677837,23.546514
hotel,1,0.0,source,301,0.146068,0.230662,0.156795,0.250421,0.010727,0.019759,0.023616,0.057656,16.167541,24.996008
hotel,1,0.0,other,752,0.140732,0.218266,0.148902,0.237383,0.008170,0.019118,0.019785,0.050056,14.058950,22.933381
hotel,1,0.02,all,1053,0.142257,0.221809,0.151221,0.241383,0.008964,0.019575,0.020994,0.052724,14.757634,23.769856
hotel,1,0.02,source,301,0.146068,0.230662,0.156887,0.251259,0.010819,0.020598,0.023309,0.058023,15.957906,25.155176
hotel,1,0.02,other,752,0.140732,0.218266,0.148953,0.237431,0.008221,0.019165,0.020067,0.050602,14.258989,23.183869
hotel,1,0.05,all,1053,0.142257,0.221809,0.151627,0.242827,0.009369,0.021018,0.021831,0.054891,15.345928,24.746823
hotel,1,0.05,source,301,0.146068,0.230662,0.157077,0.253208,0.011009,0.022546,0.023711,0.058892,16.233024,25.531967
hotel,1,0.05,other,752,0.140732,0.218266,0.149445,0.238671,0.008713,0.020406,0.021078,0.053289,14.977390,24.414708
hotel,2,0.0,all,1053,0.142257,0.221809,0.163189,0.271009,0.020931,0.049200,0.034759,0.087090,24.434245,39.263342
hotel,2,0.0,source,301,0.146068,0.230662,0.166602,0.274045,0.020533,0.043383,0.034912,0.085229,23.901427,36.950021
hotel,2,0.0,other,752,0.140732,0.218266,0.161822,0.269794,0.021090,0.051528,0.034698,0.087834,24.655600,40.241874
hotel,2,0.02,all,1053,0.142257,0.221809,0.163342,0.271430,0.021085,0.049621,0.034943,0.087383,24.563230,39.395593
hotel,2,0.02,source,301,0.146068,0.230662,0.166954,0.274829,0.020886,0.044168,0.035089,0.085227,24.022299,36.948981
hotel,2,0.02,other,752,0.140732,0.218266,0.161897,0.270070,0.021165,0.051804,0.034885,0.088246,24.787956,40.430505
hotel,2,0.05,all,1053,0.142257,0.221809,0.163967,0.273466,0.021710,0.051657,0.035910,0.089908,25.243094,40.533911
hotel,2,0.05,source,301,0.146068,0.230662,0.167351,0.276217,0.021283,0.045555,0.035748,0.086380,24.473659,37.448636
hotel,2,0.05,other,752,0.140732,0.218266,0.162613,0.272366,0.021881,0.054100,0.035975,0.091320,25.562751,41.838977
hotel,4,0.0,all,1053,0.142257,0.221809,0.185029,0.325925,0.042772,0.104116,0.056449,0.141913,39.680708,63.979959
hotel,4,0.0,source,301,0.146068,0.230662,0.184128,0.314986,0.038060,0.084325,0.052710,0.127160,36.086153,55.128596
hotel,4,0.0,other,752,0.140732,0.218266,0.185390,0.330304,0.044658,0.112038,0.057945,0.147818,41.174041,67.724070
hotel,4,0.02,all,1053,0.142257,0.221809,0.185377,0.327029,0.043119,0.105220,0.056806,0.142563,39.932012,64.272712
hotel,4,0.02,source,301,0.146068,0.230662,0.184721,0.316620,0.038652,0.085959,0.053115,0.127828,36.363049,55.418005
hotel,4,0.02,other,752,0.140732,0.218266,0.185639,0.331195,0.044908,0.112929,0.058284,0.148460,41.414713,68.018237
hotel,4,0.05,all,1053,0.142257,0.221809,0.186716,0.331287,0.044459,0.109478,0.058389,0.146154,41.044987,65.891826
hotel,4,0.05,source,301,0.146068,0.230662,0.185718,0.319977,0.039650,0.089315,0.054244,0.130336,37.136202,56.505180
hotel,4,0.05,other,752,0.140732,0.218266,0.187116,0.335814,0.046384,0.117548,0.060049,0.152485,42.668866,69.862361
univ,0,0.0,all,24334,0.254227,0.453912,0.254227,0.453912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
univ,0,0.0,source,947,0.259517,0.465449,0.259517,0.465449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
univ,0,0.0,other,23387,0.254013,0.453444,0.254013,0.453444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
univ,1,0.0,all,24334,0.254227,0.453912,0.255072,0.455808,0.000845,0.001897,0.009397,0.025901,3.696387,5.706220
univ,1,0.0,source,947,0.259517,0.465449,0.258685,0.464625,-0.000832,-0.000824,0.016909,0.041763,6.515711,8.972662
univ,1,0.0,other,23387,0.254013,0.453444,0.254926,0.455451,0.000913,0.002007,0.009093,0.025259,3.579751,5.570452
univ,1,0.02,all,24334,0.254227,0.453912,0.255084,0.455819,0.000857,0.001908,0.009442,0.026013,3.713841,5.730899
univ,1,0.02,source,947,0.259517,0.465449,0.258808,0.464448,-0.000709,-0.001001,0.017035,0.042033,6.564058,9.030648
univ,1,0.02,other,23387,0.254013,0.453444,0.254933,0.455470,0.000921,0.002025,0.009134,0.025365,3.595928,5.593746
univ,1,0.05,all,24334,0.254227,0.453912,0.255121,0.455893,0.000894,0.001982,0.009631,0.026454,3.788351,5.828016
univ,1,0.05,source,947,0.259517,0.465449,0.259017,0.464359,-0.000500,-0.001091,0.017561,0.042969,6.766691,9.231635
univ,1,0.05,other,23387,0.254013,0.453444,0.254964,0.455551,0.000951,0.002106,0.009310,0.025785,3.665137,5.686546
univ,2,0.0,all,24334,0.254227,0.453912,0.257266,0.461062,0.003039,0.007151,0.017587,0.048464,6.918000,10.677036
univ,2,0.0,source,947,0.259517,0.465449,0.260240,0.468590,0.000723,0.003140,0.027025,0.067835,10.413458,14.574036
univ,2,0.0,other,23387,0.254013,0.453444,0.257145,0.460757,0.003132,0.007313,0.017205,0.047680,6.773393,10.515059
univ,2,0.02,all,24334,0.254227,0.453912,0.257287,0.461100,0.003060,0.007189,0.017625,0.048561,6.932789,10.698329
univ,2,0.02,source,947,0.259517,0.465449,0.260481,0.469114,0.000963,0.003665,0.027022,0.068000,10.412318,14.609614
univ,2,0.02,other,23387,0.254013,0.453444,0.257158,0.460776,0.003145,0.007332,0.017245,0.047774,6.788841,10.535758
univ,2,0.05,all,24334,0.254227,0.453912,0.257350,0.461246,0.003123,0.007334,0.017816,0.049025,7.007722,10.800596
univ,2,0.05,source,947,0.259517,0.465449,0.260851,0.469871,0.001334,0.004422,0.027200,0.068641,10.480871,14.747217
univ,2,0.05,other,23387,0.254013,0.453444,0.257209,0.460897,0.003196,0.007452,0.017436,0.048231,6.864037,10.636556
univ,4,0.0,all,24334,0.254227,0.453912,0.264166,0.477798,0.009939,0.023886,0.032015,0.087572,12.593074,19.292698
univ,4,0.0,source,947,0.259517,0.465449,0.266463,0.484820,0.006945,0.019370,0.043050,0.108680,16.588583,23.349395
univ,4,0.0,other,23387,0.254013,0.453444,0.264073,0.477514,0.010060,0.024069,0.031568,0.086717,12.427779,19.124083
univ,4,0.02,all,24334,0.254227,0.453912,0.264189,0.477846,0.009962,0.023934,0.032051,0.087692,12.607435,19.319264
univ,4,0.02,source,947,0.259517,0.465449,0.266620,0.485165,0.007103,0.019715,0.043009,0.108822,16.572718,23.379900
univ,4,0.02,other,23387,0.254013,0.453444,0.264090,0.477550,0.010077,0.024105,0.031608,0.086837,12.443390,19.150485
univ,4,0.05,all,24334,0.254227,0.453912,0.264286,0.478123,0.010059,0.024211,0.032284,0.088269,12.698870,19.446227
univ,4,0.05,source,947,0.259517,0.465449,0.266767,0.485551,0.007249,0.020102,0.043020,0.109020,16.577077,23.422441
univ,4,0.05,other,23387,0.254013,0.453444,0.264186,0.477822,0.010173,0.024378,0.031849,0.087428,12.538428,19.280957
zara1,0,0.0,all,2253,0.176124,0.303076,0.176124,0.303076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zara1,0,0.0,source,602,0.167472,0.292888,0.167472,0.292888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zara1,0,0.0,other,1651,0.179279,0.306791,0.179279,0.306791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zara1,1,0.0,all,2253,0.176124,0.303076,0.191712,0.344207,0.015587,0.041131,0.031148,0.085579,17.685226,28.236751
zara1,1,0.0,source,602,0.167472,0.292888,0.184982,0.340840,0.017510,0.047952,0.033286,0.090865,19.875677,31.023634
zara1,1,0.0,other,1651,0.179279,0.306791,0.194165,0.345435,0.014886,0.038644,0.030368,0.083651,16.939130,27.266625
zara1,1,0.02,all,2253,0.176124,0.303076,0.191867,0.344995,0.015743,0.041919,0.031253,0.086348,17.744597,28.490405
zara1,1,0.02,source,602,0.167472,0.292888,0.185475,0.342302,0.018004,0.049413,0.033598,0.091763,20.062101,31.330220
zara1,1,0.02,other,1651,0.179279,0.306791,0.194197,0.345977,0.014918,0.039186,0.030397,0.084373,16.955225,27.501853
zara1,1,0.05,all,2253,0.176124,0.303076,0.192765,0.347698,0.016641,0.044622,0.032486,0.089928,18.444694,29.671908
zara1,1,0.05,source,602,0.167472,0.292888,0.187024,0.346295,0.019552,0.053406,0.035463,0.096825,21.175229,33.058543
zara1,1,0.05,other,1651,0.179279,0.306791,0.194858,0.348210,0.015579,0.041419,0.031400,0.087414,17.514639,28.493005
zara1,2,0.0,all,2253,0.176124,0.303076,0.212521,0.394428,0.036397,0.091352,0.054260,0.143181,30.807852,47.242722
zara1,2,0.0,source,602,0.167472,0.292888,0.203357,0.387979,0.035885,0.095091,0.054840,0.147669,32.745633,50.418291
zara1,2,0.0,other,1651,0.179279,0.306791,0.215863,0.396779,0.036584,0.089988,0.054049,0.141545,30.147819,46.137293
zara1,2,0.02,all,2253,0.176124,0.303076,0.212784,0.395094,0.036660,0.092018,0.054394,0.143857,30.883821,47.465644
zara1,2,0.02,source,602,0.167472,0.292888,0.203881,0.389026,0.036409,0.096137,0.055108,0.148590,32.905645,50.732557
zara1,2,0.02,other,1651,0.179279,0.306791,0.216030,0.397307,0.036751,0.090516,0.054134,0.142131,30.195162,46.328418
