dataset,k,sigma,role,n,ADE_base,FDE_base,ADE_dup,FDE_dup,dADE,dFDE,abs_dADE,abs_dFDE,ratio_ADE(%),ratio_FDE(%)
eth,0,0.0,all,181,0.778602,1.426841,0.778602,1.426841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
eth,0,0.0,source,70,0.695536,1.248895,0.695536,1.248895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
eth,0,0.0,other,111,0.830986,1.539058,0.830986,1.539058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
eth,1,0.0,all,181,0.778602,1.426841,0.778602,1.426840,0.000000,-0.000000,0.000001,0.000001,0.000073,0.000092
eth,1,0.0,source,70,0.695536,1.248895,0.695536,1.248895,-0.000000,-0.000000,0.000001,0.000001,0.000075,0.000107
eth,1,0.0,other,111,0.830986,1.539058,0.830986,1.539058,0.000000,0.000000,0.000001,0.000001,0.000072,0.000085
eth,1,0.02,all,181,0.778602,1.426841,0.778531,1.428426,-0.000071,0.001585,0.005055,0.012757,0.649222,0.894051
eth,1,0.02,source,70,0.695536,1.248895,0.694887,1.253705,-0.000649,0.004810,0.009620,0.025091,1.383035,2.009023
eth,1,0.02,other,111,0.830986,1.539058,0.831280,1.538610,0.000294,-0.000449,0.002176,0.004979,0.261887,0.323479
eth,1,0.05,all,181,0.778602,1.426841,0.780791,1.433915,0.002190,0.007074,0.011823,0.026795,1.518511,1.877919
eth,1,0.05,source,70,0.695536,1.248895,0.700156,1.268646,0.004620,0.019750,0.021533,0.049005,3.095890,3.923848
eth,1,0.05,other,111,0.830986,1.539058,0.831643,1.538139,0.000657,-0.000920,0.005700,0.012789,0.685911,0.830944
eth,2,0.0,all,181,0.778602,1.426841,0.778602,1.426840,0.000000,-0.000000,0.000001,0.000001,0.000075,0.000091
eth,2,0.0,source,70,0.695536,1.248895,0.695536,1.248895,-0.000000,-0.000000,0.000001,0.000001,0.000083,0.000110
eth,2,0.0,other,111,0.830986,1.539058,0.830986,1.539058,0.000000,0.000000,0.000001,0.000001,0.000071,0.000080
eth,2,0.02,all,181,0.778602,1.426841,0.779650,1.432781,0.001048,0.005941,0.008404,0.022658,1.079353,1.588010
eth,2,0.02,source,70,0.695536,1.248895,0.696980,1.263542,0.001444,0.014647,0.016847,0.047837,2.422111,3.830377
eth,2,0.02,other,111,0.830986,1.539058,0.831785,1.539509,0.000799,0.000451,0.003080,0.006780,0.370594,0.440511
eth,2,0.05,all,181,0.778602,1.426841,0.787248,1.451344,0.008646,0.024503,0.021426,0.053359,2.751850,3.739678
eth,2,0.05,source,70,0.695536,1.248895,0.714882,1.309949,0.019346,0.061054,0.042598,0.110877,6.124441,8.877984
eth,2,0.05,other,111,0.830986,1.539058,0.832885,1.540512,0.001899,0.001453,0.008074,0.017087,0.971668,1.110222
eth,4,0.0,all,181,0.778602,1.426841,0.778602,1.426840,0.000000,-0.000000,0.000001,0.000001,0.000077,0.000092
eth,4,0.0,source,70,0.695536,1.248895,0.695536,1.248895,-0.000000,-0.000000,0.000001,0.000001,0.000088,0.000113
eth,4,0.0,other,111,0.830986,1.539058,0.830986,1.539058,0.000000,0.000000,0.000001,0.000001,0.000070,0.000081
eth,4,0.02,all,181,0.778602,1.426841,0.779345,1.434573,0.000743,0.007732,0.013273,0.033802,1.704698,2.368991
eth,4,0.02,source,70,0.695536,1.248895,0.696744,1.267096,0.001208,0.018201,0.026076,0.069859,3.749066,5.593643
eth,4,0.02,other,111,0.830986,1.539058,0.831436,1.540189,0.000450,0.001131,0.005199,0.011063,0.625602,0.718820
eth,4,0.05,all,181,0.778602,1.426841,0.788833,1.461871,0.010231,0.035031,0.033193,0.079215,4.263113,5.551783
eth,4,0.05,source,70,0.695536,1.248895,0.719240,1.332354,0.023704,0.083459,0.064664,0.163239,9.297060,13.070647
eth,4,0.05,other,111,0.830986,1.539058,0.832721,1.543549,0.001735,0.004490,0.013346,0.026227,1.606003,1.704110
hotel,0,0.0,all,1053,0.435306,0.880464,0.435306,0.880464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hotel,0,0.0,source,301,0.427839,0.857386,0.427839,0.857386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hotel,0,0.0,other,752,0.438294,0.889702,0.438294,0.889702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hotel,1,0.0,all,1053,0.435306,0.880464,0.435306,0.880464,0.000000,0.000000,0.000001,0.000001,0.000135,0.000135
hotel,1,0.0,source,301,0.427839,0.857386,0.427839,0.857386,-0.000000,0.000000,0.000001,0.000001,0.000126,0.000127
hotel,1,0.0,other,752,0.438294,0.889702,0.438294,0.889702,0.000000,0.000000,0.000001,0.000001,0.000139,0.000138
hotel,1,0.02,all,1053,0.435306,0.880464,0.436196,0.882413,0.000890,0.001949,0.005424,0.011368,1.245977,1.291157
hotel,1,0.02,source,301,0.427839,0.857386,0.430810,0.863961,0.002971,0.006576,0.017562,0.036466,4.104925,4.253181
hotel,1,0.02,other,752,0.438294,0.889702,0.438351,0.889799,0.000057,0.000097,0.000565,0.001322,0.128934,0.148623
hotel,1,0.05,all,1053,0.435306,0.880464,0.438874,0.887811,0.003568,0.007346,0.011845,0.023674,2.721011,2.688817
hotel,1,0.05,source,301,0.427839,0.857386,0.439309,0.881291,0.011469,0.023905,0.037232,0.073193,8.702438,8.536717
hotel,1,0.05,other,752,0.438294,0.889702,0.438700,0.890421,0.000406,0.000719,0.001683,0.003853,0.383960,0.433123
hotel,2,0.0,all,1053,0.435306,0.880464,0.435306,0.880464,-0.000000,-0.000000,0.000001,0.000001,0.000134,0.000132
hotel,2,0.0,source,301,0.427839,0.857386,0.427839,0.857386,-0.000000,-0.000000,0.000001,0.000001,0.000124,0.000125
hotel,2,0.0,other,752,0.438294,0.889702,0.438294,0.889702,0.000000,-0.000000,0.000001,0.000001,0.000138,0.000135
hotel,2,0.02,all,1053,0.435306,0.880464,0.437069,0.884211,0.001763,0.003747,0.008679,0.017666,1.993855,2.006477
hotel,2,0.02,source,301,0.427839,0.857386,0.433463,0.869848,0.005624,0.012462,0.027768,0.055967,6.490238,6.527643
hotel,2,0.02,other,752,0.438294,0.889702,0.438512,0.889960,0.000217,0.000258,0.001039,0.002336,0.237037,0.262539
hotel,2,0.05,all,1053,0.435306,0.880464,0.442193,0.894032,0.006887,0.013568,0.019437,0.038616,4.465224,4.385912
hotel,2,0.05,source,301,0.427839,0.857386,0.450074,0.902341,0.022235,0.044956,0.060758,0.119090,14.201056,13.889844
hotel,2,0.05,other,752,0.438294,0.889702,0.439038,0.890706,0.000744,0.001004,0.002898,0.006406,0.661259,0.719986
hotel,4,0.0,all,1053,0.435306,0.880464,0.435306,0.880464,-0.000000,-0.000000,0.000001,0.000001,0.000130,0.000129
hotel,4,0.0,source,301,0.427839,0.857386,0.427839,0.857386,-0.000000,-0.000000,0.000001,0.000001,0.000121,0.000125
hotel,4,0.0,other,752,0.438294,0.889702,0.438294,0.889702,-0.000000,-0.000000,0.000001,0.000001,0.000134,0.000131
hotel,4,0.02,all,1053,0.435306,0.880464,0.438246,0.886619,0.002941,0.006154,0.012124,0.023996,2.785117,2.725338
hotel,4,0.02,source,301,0.427839,0.857386,0.437298,0.877720,0.009458,0.020334,0.038430,0.075437,8.982343,8.798449
