dataset,k,sigma,role,n,ADE_base,FDE_base,ADE_dup,FDE_dup,dADE,dFDE,abs_dADE,abs_dFDE,ratio_ADE(%),ratio_FDE(%)
eth,0,0.0,all,181,0.737890,1.220628,0.737890,1.220628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
eth,0,0.0,source,70,0.769789,1.279379,0.769789,1.279379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
eth,0,0.0,other,111,0.717774,1.183578,0.717774,1.183578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
eth,1,0.0,all,181,0.737890,1.220628,0.878483,1.410464,0.140593,0.189836,0.262070,0.534250,35.516091,43.768460
eth,1,0.0,source,70,0.769789,1.279379,0.909630,1.430249,0.139841,0.150870,0.322105,0.717144,41.843330,56.054095
eth,1,0.0,other,111,0.717774,1.183578,0.858841,1.397988,0.141067,0.214410,0.224209,0.418912,31.236783,35.393652
eth,1,0.02,all,181,0.737890,1.220628,0.883800,1.447751,0.145910,0.227123,0.276623,0.578563,37.488391,47.398806
eth,1,0.02,source,70,0.769789,1.279379,0.855969,1.391977,0.086180,0.112598,0.260844,0.593318,33.885150,46.375492
eth,1,0.02,other,111,0.717774,1.183578,0.901351,1.482924,0.183577,0.299346,0.286574,0.569258,39.925375,48.096374
eth,1,0.05,all,181,0.737890,1.220628,0.888842,1.451392,0.150951,0.230764,0.275326,0.565636,37.312640,46.339719
eth,1,0.05,source,70,0.769789,1.279379,0.873436,1.409657,0.103647,0.130278,0.278771,0.628194,36.213986,49.101525
eth,1,0.05,other,111,0.717774,1.183578,0.898557,1.477712,0.180783,0.294134,0.273154,0.526184,38.055694,44.457066
eth,2,0.0,all,181,0.737890,1.220628,0.926662,1.479667,0.188771,0.259038,0.310132,0.607183,42.029507,49.743501
eth,2,0.0,source,70,0.769789,1.279379,0.989236,1.539351,0.219447,0.259973,0.399697,0.838145,51.922964,65.511898
eth,2,0.0,other,111,0.717774,1.183578,0.887200,1.442027,0.169427,0.258449,0.253649,0.461531,35.338256,38.994583
eth,2,0.02,all,181,0.737890,1.220628,0.932883,1.520788,0.194993,0.300160,0.326774,0.669935,44.284867,54.884451
eth,2,0.02,source,70,0.769789,1.279379,0.919106,1.472261,0.149317,0.192883,0.320206,0.696617,41.596579,54.449645
eth,2,0.02,other,111,0.717774,1.183578,0.941571,1.551391,0.223797,0.367813,0.330916,0.653109,46.103039,55.180847
eth,2,0.05,all,181,0.737890,1.220628,0.938058,1.525989,0.200168,0.305361,0.325595,0.652227,44.125123,53.433756
eth,2,0.05,source,70,0.769789,1.279379,0.938275,1.500901,0.168486,0.221523,0.334571,0.720187,43.462621,56.291914
eth,2,0.05,other,111,0.717774,1.183578,0.937921,1.541811,0.220147,0.358232,0.319935,0.609370,44.573194,51.485422
eth,4,0.0,all,181,0.737890,1.220628,0.945500,1.503539,0.207609,0.282911,0.338056,0.651368,45.813835,53.363308
eth,4,0.0,source,70,0.769789,1.279379,1.031394,1.589340,0.261605,0.309961,0.448603,0.936722,58.276151,73.216978
eth,4,0.0,other,111,0.717774,1.183578,0.891332,1.449431,0.173558,0.265852,0.268341,0.471414,37.385186,39.829562
eth,4,0.02,all,181,0.737890,1.220628,0.940941,1.526366,0.203051,0.305738,0.338140,0.699562,45.825282,57.311660
eth,4,0.02,source,70,0.769789,1.279379,0.923547,1.467802,0.153758,0.188423,0.324193,0.723472,42.114500,56.548720
eth,4,0.02,other,111,0.717774,1.183578,0.951911,1.563299,0.234137,0.379721,0.346936,0.684484,48.334998,57.831736
eth,4,0.05,all,181,0.737890,1.220628,0.949269,1.538463,0.211379,0.317835,0.336314,0.675252,45.577741,55.320048
eth,4,0.05,source,70,0.769789,1.279379,0.949677,1.511653,0.179888,0.232275,0.343061,0.740366,44.565616,57.869148
eth,4,0.05,other,111,0.717774,1.183578,0.949012,1.555370,0.231238,0.371791,0.332059,0.634190,46.262273,53.582391
hotel,0,0.0,all,1053,0.405278,0.663737,0.405278,0.663737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hotel,0,0.0,source,301,0.420793,0.695953,0.420793,0.695953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hotel,0,0.0,other,752,0.399067,0.650843,0.399067,0.650843,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hotel,1,0.0,all,1053,0.405278,0.663737,0.417925,0.668581,0.012647,0.004844,0.061112,0.160581,15.078962,24.193397
hotel,1,0.0,source,301,0.420793,0.695953,0.448823,0.734722,0.028030,0.038769,0.070061,0.170180,16.649820,24.452788
hotel,1,0.0,other,752,0.399067,0.650843,0.405558,0.642108,0.006490,-0.008735,0.057529,0.156738,14.415970,24.082375
hotel,1,0.02,all,1053,0.405278,0.663737,0.419497,0.668152,0.014219,0.004415,0.063762,0.164050,15.732883,24.716126
hotel,1,0.02,source,301,0.420793,0.695953,0.444430,0.722966,0.023637,0.027013,0.069962,0.170779,16.626172,24.538943
hotel,1,0.02,other,752,0.399067,0.650843,0.409517,0.646212,0.010449,-0.004631,0.061280,0.161357,15.355865,24.791962
hotel,1,0.05,all,1053,0.405278,0.663737,0.422669,0.671618,0.017391,0.007881,0.065655,0.167223,16.200039,25.194111
hotel,1,0.05,source,301,0.420793,0.695953,0.448638,0.727354,0.027845,0.031401,0.072607,0.177934,17.254886,25.567031
hotel,1,0.05,other,752,0.399067,0.650843,0.412275,0.649309,0.013207,-0.001534,0.062872,0.162935,15.754834,25.034498
hotel,2,0.0,all,1053,0.405278,0.663737,0.419492,0.681469,0.014214,0.017732,0.065306,0.173487,16.113886,26.137955
hotel,2,0.0,source,301,0.420793,0.695953,0.450118,0.745110,0.029325,0.049157,0.074291,0.197478,17.655066,28.375163
hotel,2,0.0,other,752,0.399067,0.650843,0.407233,0.655996,0.008166,0.005153,0.061709,0.163885,15.463419,25.180411
hotel,2,0.02,all,1053,0.405278,0.663737,0.418926,0.675053,0.013649,0.011316,0.065990,0.172453,16.282682,25.982133
hotel,2,0.02,source,301,0.420793,0.695953,0.440822,0.722411,0.020029,0.026458,0.073560,0.193046,17.481343,27.738372
hotel,2,0.02,other,752,0.399067,0.650843,0.410162,0.656098,0.011095,0.005255,0.062960,0.164210,15.776779,25.230448
hotel,2,0.05,all,1053,0.405278,0.663737,0.420769,0.674858,0.015491,0.011120,0.066984,0.171820,16.527847,25.886727
hotel,2,0.05,source,301,0.420793,0.695953,0.442794,0.720143,0.022000,0.024190,0.074445,0.191622,17.691485,27.533772
hotel,2,0.05,other,752,0.399067,0.650843,0.411953,0.656732,0.012885,0.005889,0.063997,0.163894,16.036725,25.181778
hotel,4,0.0,all,1053,0.405278,0.663737,0.424719,0.702555,0.019442,0.038818,0.071815,0.191699,17.720067,28.881685
hotel,4,0.0,source,301,0.420793,0.695953,0.456121,0.773823,0.035327,0.077870,0.081872,0.221648,19.456469,31.848170
hotel,4,0.0,other,752,0.399067,0.650843,0.412151,0.674029,0.013083,0.023187,0.067790,0.179711,16.987206,27.612004
hotel,4,0.02,all,1053,0.405278,0.663737,0.419583,0.685840,0.014305,0.022103,0.067879,0.181198,16.748718,27.299684
hotel,4,0.02,source,301,0.420793,0.695953,0.438957,0.738243,0.018164,0.042290,0.073782,0.205028,17.534093,29.460092
hotel,4,0.02,other,752,0.399067,0.650843,0.411828,0.664865,0.012760,0.014022,0.065516,0.171660,16.417244,26.375011
hotel,4,0.05,all,1053,0.405278,0.663737,0.420084,0.683033,0.014806,0.019295,0.067126,0.176215,16.562907,26.548852
hotel,4,0.05,source,301,0.420793,0.695953,0.439005,0.732999,0.018211,0.037046,0.072039,0.197973,17.119852,28.446351
hotel,4,0.05,other,752,0.399067,0.650843,0.412511,0.663033,0.013443,0.012190,0.065159,0.167505,16.327845,25.736706
univ,0,0.0,all,24334,0.488675,0.911293,0.488675,0.911293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
univ,0,0.0,source,947,0.509033,0.952981,0.509033,0.952981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
univ,0,0.0,other,23387,0.487850,0.909605,0.487850,0.909605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
univ,1,0.0,all,24334,0.488675,0.911293,0.492637,0.922339,0.003963,0.011046,0.012209,0.028437,2.498421,3.120511
univ,1,0.0,source,947,0.509033,0.952981,0.511159,0.963897,0.002126,0.010915,0.018793,0.042045,3.691864,4.411893
univ,1,0.0,other,23387,0.487850,0.909605,0.491887,0.920656,0.004037,0.011052,0.011943,0.027886,2.447997,3.065726
univ,1,0.02,all,24334,0.488675,0.911293,0.492507,0.922529,0.003833,0.011236,0.013105,0.030478,2.681794,3.344514
univ,1,0.02,source,947,0.509033,0.952981,0.510265,0.962298,0.001232,0.009316,0.040279,0.090917,7.912895,9.540314
univ,1,0.02,other,23387,0.487850,0.909605,0.491788,0.920918,0.003938,0.011314,0.012005,0.028031,2.460776,3.081666
univ,1,0.05,all,24334,0.488675,0.911293,0.492515,0.922448,0.003841,0.011155,0.012421,0.028994,2.541850,3.181670
univ,1,0.05,source,947,0.509033,0.952981,0.512141,0.965131,0.003108,0.012150,0.027819,0.063170,5.465021,6.628713
univ,1,0.05,other,23387,0.487850,0.909605,0.491721,0.920720,0.003870,0.011115,0.011798,0.027610,2.418344,3.035434
univ,2,0.0,all,24334,0.488675,0.911293,0.494812,0.927106,0.006137,0.015813,0.018630,0.042868,3.812331,4.704105
univ,2,0.0,source,947,0.509033,0.952981,0.513578,0.971150,0.004545,0.018169,0.029088,0.064247,5.714294,6.741694
univ,2,0.0,other,23387,0.487850,0.909605,0.494052,0.925322,0.006202,0.015718,0.018206,0.042002,3.731972,4.617663
univ,2,0.02,all,24334,0.488675,0.911293,0.494251,0.926415,0.005576,0.015122,0.018627,0.042664,3.811758,4.681661
